"Timestamp","NO2-PreScaled","NO2-Scaled","NO2-Flags","PM10-PreScaled","PM10-Scaled","PM10-Flags","PM2.5-PreScaled","PM2.5-Scaled","PM2.5-Flags"
"2019-06-25 00:00:00","30.364","30.764","Valid","12.628","12.628","Valid","11.893","11.893","Valid"
"2019-06-25 00:15:00","22.575","22.975","Valid","13.804","13.804","Valid","12.433","12.433","Valid"
"2019-06-25 00:30:00","28.425","28.825","Valid","14.084","14.084","Valid","13.029","13.029","Valid"
"2019-06-25 00:45:00","35.446","35.846","Valid","15.141","15.141","Valid","14.037","14.037","Valid"
"2019-06-25 01:00:00","33.375","33.775","Valid","16.757","16.757","Valid","14.729","14.729","Valid"
"2019-06-25 01:15:00","31.981","32.381","Valid","16.823","16.823","Valid","15.143","15.143","Valid"
"2019-06-25 01:30:00","33.888","34.288","Valid","19.738","19.738","Valid","16.895","16.895","Valid"
"2019-06-25 01:45:00","34.428","34.828","Valid","18.591","18.591","Valid","16.538","16.538","Valid"
"2019-06-25 02:00:00","30.776","31.176","Valid","17.53","17.53","Valid","15.801","15.801","Valid"
"2019-06-25 02:15:00","32.815","33.215","Valid","17.518","17.518","Valid","15.995","15.995","Valid"
"2019-06-25 02:30:00","30.974","31.374","Valid","19.192","19.192","Valid","16.798","16.798","Valid"
"2019-06-25 02:45:00","28.677","29.077","Valid","18.985","18.985","Valid","16.409","16.409","Valid"
"2019-06-25 03:00:00","30.131","30.531","Valid","19.149","19.149","Valid","16.764","16.764","Valid"
"2019-06-25 03:15:00","27.681","28.081","Valid","17.925","17.925","Valid","16.29","16.29","Valid"
"2019-06-25 03:30:00","21.579","21.979","Valid","16.444","16.444","Valid","15.002","15.002","Valid"
"2019-06-25 03:45:00","20.091","20.491","Valid","17.783","17.783","Valid","15.721","15.721","Valid"
"2019-06-25 04:00:00","25.219","25.619","Valid","20.126","20.126","Valid","16.862","16.862","Valid"
"2019-06-25 04:15:00","27.367","27.767","Valid","22.077","22.077","Valid","17.533","17.533","Valid"
"2019-06-25 04:30:00","22.902","23.302","Valid","22.793","22.793","Valid","20.135","20.135","Valid"
"2019-06-25 04:45:00","20.096","20.496","Valid","23.639","23.639","Valid","20.668","20.668","Valid"
"2019-06-25 05:00:00","18.497","18.897","Valid","22.71","22.71","Valid","20.628","20.628","Valid"
"2019-06-25 05:15:00","17.403","17.803","Valid","23.522","23.522","Valid","21.782","21.782","Valid"
"2019-06-25 05:30:00","17.283","17.683","Valid","25.33","25.33","Valid","22.529","22.529","Valid"
"2019-06-25 05:45:00","19.035","19.435","Valid","24.391","24.391","Valid","22.134","22.134","Valid"
"2019-06-25 06:00:00","23.639","24.039","Valid","26.779","26.779","Valid","24.181","24.181","Valid"
"2019-06-25 06:15:00","24.58","24.98","Valid","25.845","25.845","Valid","23.339","23.339","Valid"
"2019-06-25 06:30:00","25.092","25.492","Valid","20.725","20.725","Valid","19.165","19.165","Invalid (1)"
"2019-06-25 06:45:00","22.731","23.131","Valid","18.793","18.793","Valid","16.857","16.857","Valid"
"2019-06-25 07:00:00","24.535","24.935","Valid","19.109","19.109","Valid","16.958","16.958","Valid"
"2019-06-25 07:15:00","25.745","26.145","Valid","20.182","20.182","Valid","17.46","17.46","Valid"
"2019-06-25 07:30:00","23.483","23.883","Valid","19.344","19.344","Valid","17.211","17.211","Valid"
"2019-06-25 07:45:00","22.732","23.132","Valid","16.417","16.417","Valid","15.006","15.006","Invalid (1)"
"2019-06-25 08:00:00","25.775","26.175","Valid","14.678","14.678","Valid","13.616","13.616","Valid"
"2019-06-25 08:15:00","25.849","26.249","Valid","14.611","14.611","Valid","13.276","13.276","Valid"
"2019-06-25 08:30:00","23.901","24.301","Valid","13.445","13.445","Valid","12.129","12.129","Valid"
"2019-06-25 08:45:00","23.383","23.783","Valid","13.778","13.778","Valid","12.616","12.616","Valid"
"2019-06-25 09:00:00","22.209","22.609","Valid","13.594","13.594","Valid","11.811","11.811","Valid"
"2019-06-25 09:15:00","20.333","20.733","Valid","12.956","12.956","Valid","11.337","11.337","Valid"
"2019-06-25 09:30:00","16.689","17.089","Valid","11.815","11.815","Valid","10.836","10.836","Invalid (1)"
"2019-06-25 09:45:00","18.565","18.965","Valid","12.995","12.995","Valid","11.201","11.201","Valid"
"2019-06-25 10:00:00","18.304","18.704","Valid","11.844","11.844","Valid","10.427","10.427","Valid"
"2019-06-25 10:15:00","17.599","17.999","Valid","9.297","9.297","Valid","8.121","8.121","Valid"
"2019-06-25 10:30:00","17.471","17.871","Valid","9.01","9.01","Valid","7.573","7.573","Valid"
"2019-06-25 10:45:00","18.403","18.803","Valid","9.183","9.183","Valid","7.675","7.675","Valid"
"2019-06-25 11:00:00","18.091","18.491","Valid","8.729","8.729","Valid","7.454","7.454","Valid"
"2019-06-25 11:15:00","17.041","17.441","Valid","8.543","8.543","Valid","7.739","7.739","Valid"
"2019-06-25 11:30:00","15.025","15.425","Valid","8.519","8.519","Valid","7.464","7.464","Valid"
"2019-06-25 11:45:00","15.639","16.039","Valid","9.343","9.343","Valid","8.149","8.149","Valid"
"2019-06-25 12:00:00","15.142","15.542","Valid","9.216","9.216","Valid","8.207","8.207","Valid"
"2019-06-25 12:15:00","15.951","16.351","Valid","9.736","9.736","Valid","8.516","8.516","Valid"
"2019-06-25 12:30:00","15.002","15.402","Valid","9.645","9.645","Valid","8.749","8.749","Valid"
"2019-06-25 12:45:00","20.964","21.364","Valid","10.577","10.577","Valid","9.706","9.706","Invalid (1)"
"2019-06-25 13:00:00","24.785","25.185","Valid","16.229","16.229","Valid","14.227","14.227","Valid"
"2019-06-25 13:15:00","21.526","21.926","Valid","20.617","20.617","Valid","17.387","17.387","Valid"
"2019-06-25 13:30:00","22.49","22.89","Valid","18.759","18.759","Valid","16.675","16.675","Valid"
"2019-06-25 13:45:00","20.912","21.312","Valid","16.995","16.995","Valid","15.597","15.597","Invalid (1)"
"2019-06-25 14:00:00","19.283","19.683","Valid","16.469","16.469","Valid","14.501","14.501","Valid"
"2019-06-25 14:15:00","16.875","17.275","Valid","14.098","14.098","Valid","13.216","13.216","Valid"
"2019-06-25 14:30:00","18.59","18.99","Valid","12.518","12.518","Valid","12.36","12.36","Valid"
"2019-06-25 14:45:00","17.277","17.677","Valid","12.301","12.301","Valid","11.587","11.587","Invalid (1)"
"2019-06-25 15:00:00","17.105","17.505","Valid","12.269","12.269","Valid","10.895","10.895","Valid"
"2019-06-25 15:15:00","15.088","15.488","Valid","11.431","11.431","Valid","10.112","10.112","Valid"
"2019-06-25 15:30:00","15.807","16.207","Valid","10.432","10.432","Valid","9.609","9.609","Invalid (1)"
"2019-06-25 15:45:00","15.907","16.307","Valid","10.202","10.202","Valid","9.297","9.297","Valid"
"2019-06-25 16:00:00","16.62","17.02","Valid","9.163","9.163","Valid","8.871","8.871","Invalid (1)"
"2019-06-25 16:15:00","16.45","16.85","Valid","9.889","9.889","Valid","9.114","9.114","Valid"
"2019-06-25 16:30:00","14.983","15.383","Valid","10.547","10.547","Valid","10.178","10.178","Valid"
"2019-06-25 16:45:00","14.964","15.364","Valid","11.188","11.188","Valid","10.457","10.457","Valid"
"2019-06-25 17:00:00","13.893","14.293","Valid","11.655","11.655","Valid","10.817","10.817","Valid"
"2019-06-25 17:15:00","14.696","15.096","Valid","14.493","14.493","Valid","13.499","13.499","Valid"
"2019-06-25 17:30:00","14.846","15.246","Valid","18.107","18.107","Valid","17.273","17.273","Valid"
"2019-06-25 17:45:00","16.313","16.713","Valid","19.603","19.603","Valid","18.319","18.319","Valid"
"2019-06-25 18:00:00","17.469","17.869","Valid","20.757","20.757","Valid","18.65","18.65","Valid"
"2019-06-25 18:15:00","17.822","18.222","Valid","22.611","22.611","Valid","20.439","20.439","Valid"
"2019-06-25 18:30:00","16.386","16.786","Valid","25.022","25.022","Valid","22.579","22.579","Valid"
"2019-06-25 18:45:00","18.723","19.123","Valid","26.793","26.793","Valid","23.177","23.177","Valid"
"2019-06-25 19:00:00","15.722","16.122","Valid","21.534","21.534","Valid","19.147","19.147","Valid"
"2019-06-25 19:15:00","19.103","19.503","Valid","21.086","21.086","Valid","18.391","18.391","Valid"
"2019-06-25 19:30:00","18.198","18.598","Valid","19.628","19.628","Valid","17.385","17.385","Valid"
"2019-06-25 19:45:00","16.381","16.781","Valid","19.291","19.291","Valid","17.227","17.227","Valid"
"2019-06-25 20:00:00","15.55","15.95","Valid","19.131","19.131","Valid","17.369","17.369","Valid"
"2019-06-25 20:15:00","13.631","14.031","Valid","20.389","20.389","Valid","18.245","18.245","Valid"
"2019-06-25 20:30:00","13.669","14.069","Valid","20.573","20.573","Valid","18.328","18.328","Valid"
"2019-06-25 20:45:00","14.45","14.85","Valid","22.896","22.896","Valid","19.583","19.583","Valid"
"2019-06-25 21:00:00","14.719","15.119","Valid","26.111","26.111","Valid","21.561","21.561","Valid"
"2019-06-25 21:15:00","14.327","14.727","Valid","23.778","23.778","Valid","19.949","19.949","Valid"
"2019-06-25 21:30:00","14.477","14.877","Valid","19.815","19.815","Valid","17","17","Valid"
"2019-06-25 21:45:00","12.447","12.847","Valid","16.97","16.97","Valid","14.837","14.837","Valid"
"2019-06-25 22:00:00","13.871","14.271","Valid","17.123","17.123","Valid","14.837","14.837","Valid"
"2019-06-25 22:15:00","13.462","13.862","Valid","16.936","16.936","Valid","14.883","14.883","Valid"
"2019-06-25 22:30:00","12.601","13.001","Valid","17.303","17.303","Valid","14.761","14.761","Valid"
"2019-06-25 22:45:00","12.105","12.505","Valid","19.062","19.062","Valid","15.495","15.495","Valid"
"2019-06-25 23:00:00","12.126","12.526","Valid","18.231","18.231","Valid","14.737","14.737","Valid"
"2019-06-25 23:15:00","11.04","11.44","Valid","18.855","18.855","Valid","15.281","15.281","Valid"
"2019-06-25 23:30:00","11.254","11.654","Valid","21.119","21.119","Valid","16.441","16.441","Valid"
"2019-06-25 23:45:00","10.33","10.73","Valid","18.601","18.601","Valid","14.999","14.999","Valid"
"2019-06-26 00:00:00","10.309","10.709","Valid","17.057","17.057","Valid","13.853","13.853","Valid"
"2019-06-26 00:15:00","9.664","10.064","Valid","21.687","21.687","Valid","16.327","16.327","Valid"
"2019-06-26 00:30:00","9.119","9.519","Valid","14.549","14.549","Valid","12.359","12.359","Valid"
"2019-06-26 00:45:00","9.572","9.972","Valid","14.869","14.869","Valid","11.958","11.958","Valid"
"2019-06-26 01:00:00","8.859","9.259","Valid","14.88","14.88","Valid","12.012","12.012","Valid"
"2019-06-26 01:15:00","8.339","8.739","Valid","11.078","11.078","Valid","9.368","9.368","Valid"
"2019-06-26 01:30:00","8.113","8.513","Valid","11.294","11.294","Valid","9.453","9.453","Valid"
"2019-06-26 01:45:00","8.277","8.677","Valid","10.548","10.548","Valid","8.949","8.949","Valid"
"2019-06-26 02:00:00","8.957","9.357","Valid","10.931","10.931","Valid","8.936","8.936","Valid"
"2019-06-26 02:15:00","8.949","9.349","Valid","11.118","11.118","Valid","9.481","9.481","Valid"
"2019-06-26 02:30:00","9.047","9.447","Valid","11.847","11.847","Valid","10.43","10.43","Valid"
"2019-06-26 02:45:00","9.009","9.409","Valid","13.667","13.667","Valid","11.087","11.087","Valid"
"2019-06-26 03:00:00","9.176","9.576","Valid","12.891","12.891","Valid","11.07","11.07","Valid"
"2019-06-26 03:15:00","9.317","9.717","Valid","12.365","12.365","Valid","10.493","10.493","Valid"
"2019-06-26 03:30:00","9.571","9.971","Valid","12.727","12.727","Valid","10.699","10.699","Valid"
"2019-06-26 03:45:00","9.235","9.635","Valid","14.617","14.617","Valid","11.847","11.847","Valid"
"2019-06-26 04:00:00","9.383","9.783","Valid","16.985","16.985","Valid","13.013","13.013","Valid"
"2019-06-26 04:15:00","9.464","9.864","Valid","15.889","15.889","Valid","12.343","12.343","Valid"
"2019-06-26 04:30:00","8.713","9.113","Valid","16.646","16.646","Valid","12.322","12.322","Valid"
"2019-06-26 04:45:00","8.386","8.786","Valid","15.357","15.357","Valid","12.075","12.075","Valid"
"2019-06-26 05:00:00","9.383","9.783","Valid","17.869","17.869","Valid","13.018","13.018","Valid"
"2019-06-26 05:15:00","9.525","9.925","Valid","19.996","19.996","Valid","13.903","13.903","Valid"
"2019-06-26 05:30:00","9.315","9.715","Valid","16.811","16.811","Valid","12.568","12.568","Valid"
"2019-06-26 05:45:00","9.071","9.471","Valid","13.228","13.228","Valid","9.961","9.961","Valid"
"2019-06-26 06:00:00","10.185","10.585","Valid","14.756","14.756","Valid","10.767","10.767","Valid"
"2019-06-26 06:15:00","10.481","10.881","Valid","11.486","11.486","Valid","8.767","8.767","Valid"
"2019-06-26 06:30:00","10.355","10.755","Valid","11.021","11.021","Valid","8.545","8.545","Valid"
"2019-06-26 06:45:00","11.078","11.478","Valid","11.545","11.545","Valid","8.936","8.936","Valid"
"2019-06-26 07:00:00","12.496","12.896","Valid","12.488","12.488","Valid","9.243","9.243","Valid"
"2019-06-26 07:15:00","12.103","12.503","Valid","13.467","13.467","Valid","9.701","9.701","Valid"
"2019-06-26 07:30:00","12.623","13.023","Valid","14.149","14.149","Valid","10.314","10.314","Valid"
"2019-06-26 07:45:00","11.989","12.389","Valid","13.312","13.312","Valid","9.749","9.749","Valid"
"2019-06-26 08:00:00","12.561","12.961","Valid","15.728","15.728","Valid","10.425","10.425","Valid"
"2019-06-26 08:15:00","10.971","11.371","Valid","13.701","13.701","Valid","9.997","9.997","Valid"
"2019-06-26 08:30:00","12.26","12.66","Valid","15.671","15.671","Valid","10.445","10.445","Valid"
"2019-06-26 08:45:00","12.011","12.411","Valid","17.912","17.912","Valid","11.106","11.106","Valid"
"2019-06-26 09:00:00","12.266","12.666","Valid","18.54","18.54","Valid","11.277","11.277","Valid"
"2019-06-26 09:15:00","12.855","13.255","Valid","20.777","20.777","Valid","13.34","13.34","Valid"
"2019-06-26 09:30:00","13.626","14.026","Valid","19.582","19.582","Valid","12.133","12.133","Valid"
"2019-06-26 09:45:00","11.852","12.252","Valid","18.088","18.088","Valid","11.161","11.161","Valid"
"2019-06-26 10:00:00","12.811","13.211","Valid","16.303","16.303","Valid","10.054","10.054","Valid"
"2019-06-26 10:15:00","11.899","12.299","Valid","15.479","15.479","Valid","9.573","9.573","Valid"
"2019-06-26 10:30:00","11.266","11.666","Valid","13.142","13.142","Valid","8.245","8.245","Valid"
"2019-06-26 10:45:00","11.487","11.887","Valid","10.997","10.997","Valid","7.77","7.77","Valid"
"2019-06-26 11:00:00","12.349","12.749","Valid","12.475","12.475","Valid","7.789","7.789","Valid"
"2019-06-26 11:15:00","11.575","11.975","Valid","13.105","13.105","Valid","7.716","7.716","Valid"
"2019-06-26 11:30:00","11.764","12.164","Valid","11.394","11.394","Valid","7.263","7.263","Valid"
"2019-06-26 11:45:00","12.181","12.581","Valid","10.958","10.958","Valid","6.915","6.915","Valid"
"2019-06-26 12:00:00","12.561","12.961","Valid","11.216","11.216","Valid","7.138","7.138","Valid"
"2019-06-26 12:15:00","11.528","11.928","Valid","10.886","10.886","Valid","7.125","7.125","Valid"
"2019-06-26 12:30:00","10.478","10.878","Valid","14.195","14.195","Valid","7.781","7.781","Valid"
"2019-06-26 12:45:00","11.467","11.867","Valid","11.285","11.285","Valid","7.279","7.279","Valid"